ID: 1, Pais: Afghanistan, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 60, Pais: Mexico, Numero de Ciudades: 30, Numero de Direcciones: 21
ID: 61, Pais: Moldova, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 62, Pais: Morocco, Numero de Ciudades: 3, Numero de Direcciones: 2
ID: 63, Pais: Mozambique, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 64, Pais: Myanmar, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 65, Pais: Nauru, Numero de Ciudades: 1, Numero de Direcciones: 0
ID: 66, Pais: Nepal, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 67, Pais: Netherlands, Numero de Ciudades: 5, Numero de Direcciones: 4
ID: 68, Pais: New Zealand, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 69, Pais: Nigeria, Numero de Ciudades: 13, Numero de Direcciones: 12
ID: 70, Pais: North Korea, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 71, Pais: Oman, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 72, Pais: Pakistan, Numero de Ciudades: 5, Numero de Direcciones: 5
ID: 73, Pais: Paraguay, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 74, Pais: Peru, Numero de Ciudades: 4, Numero de Direcciones: 2
ID: 75, Pais: Philippines, Numero de Ciudades: 20, Numero de Direcciones: 16
ID: 76, Pais: Poland, Numero de Ciudades: 8, Numero de Direcciones: 4
ID: 77, Pais: Puerto Rico, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 78, Pais: Romania, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 79, Pais: Runion, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 80, Pais: Russian Federation, Numero de Ciudades: 28, Numero de Direcciones: 25
ID: 81, Pais: Saint Vincent and the Grenadines, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 82, Pais: Saudi Arabia, Numero de Ciudades: 5, Numero de Direcciones: 5
ID: 83, Pais: Senegal, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 84, Pais: Slovakia, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 85, Pais: South Africa, Numero de Ciudades: 11, Numero de Direcciones: 10
ID: 86, Pais: South Korea, Numero de Ciudades: 5, Numero de Direcciones: 4
ID: 87, Pais: Spain, Numero de Ciudades: 5, Numero de Direcciones: 4
ID: 88, Pais: Sri Lanka, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 89, Pais: Sudan, Numero de Ciudades: 2, Numero de Direcciones: 2
ID: 90, Pais: Sweden, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 91, Pais: Switzerland, Numero de Ciudades: 3, Numero de Direcciones: 2
ID: 92, Pais: Taiwan, Numero de Ciudades: 10, Numero de Direcciones: 6
ID: 93, Pais: Tanzania, Numero de Ciudades: 3, Numero de Direcciones: 2
ID: 94, Pais: Thailand, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 95, Pais: Tonga, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 96, Pais: Tunisia, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 97, Pais: Turkey, Numero de Ciudades: 15, Numero de Direcciones: 9
ID: 98, Pais: Turkmenistan, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 99, Pais: Tuvalu, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 100, Pais: Ukraine, Numero de Ciudades: 6, Numero de Direcciones: 4
ID: 101, Pais: United Arab Emirates, Numero de Ciudades: 3, Numero de Direcciones: 3
ID: 102, Pais: United Kingdom, Numero de Ciudades: 8, Numero de Direcciones: 4
ID: 103, Pais: United States, Numero de Ciudades: 35, Numero de Direcciones: 30
ID: 104, Pais: Venezuela, Numero de Ciudades: 7, Numero de Direcciones: 5
ID: 105, Pais: Vietnam, Numero de Ciudades: 6, Numero de Direcciones: 3
ID: 106, Pais: Virgin Islands, Numero de Ciudades: 1, Numero de Direcciones: 1
ID: 107, Pais: Yemen, Numero de Ciudades: 4, Numero de Direcciones: 4
ID: 108, Pais: Yugoslavia, Numero de Ciudades: 2, Numero de Direcciones: 1
ID: 109, Pais: Zambia, Numero de Ciudades: 1, Numero de Direcciones: 1
